,Country,Region,Income,Year,Population
4155,Ghana,Sub-Saharan Africa,Lower middle income,1979,11515675.0
4156,Gibraltar,Europe & Central Asia,High income,1979,28618.0
4157,Guinea,Sub-Saharan Africa,Lower middle income,1979,4885199.0
4158,"Gambia, The",Sub-Saharan Africa,Low income,1979,695155.0
4159,Guinea-Bissau,Sub-Saharan Africa,Low income,1979,821598.0
4160,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,1979,273925.0
4161,Greece,Europe & Central Asia,High income,1979,9548258.0
4162,Grenada,Latin America & Caribbean,Upper middle income,1979,95242.0
4163,Greenland,Europe & Central Asia,High income,1979,49600.0
4164,Guatemala,Latin America & Caribbean,Upper middle income,1979,6720582.0
4165,Guam,East Asia & Pacific,High income,1979,107790.0
4166,Guyana,Latin America & Caribbean,High income,1979,774482.0
4167,"Hong Kong SAR, China",East Asia & Pacific,High income,1979,4929700.0
4168,Honduras,Latin America & Caribbean,Lower middle income,1979,3662736.0
4169,Croatia,Europe & Central Asia,High income,1979,4594778.0
4170,Haiti,Latin America & Caribbean,Lower middle income,1979,5536423.0
4171,Hungary,Europe & Central Asia,High income,1979,10704152.0
4172,Indonesia,East Asia & Pacific,Upper middle income,1979,144693087.0
4173,Isle of Man,Europe & Central Asia,High income,1979,63172.0
4174,India,South Asia,Lower middle income,1979,681248383.0
4175,Ireland,Europe & Central Asia,High income,1979,3373750.0
4176,"Iran, Islamic Rep.",Middle East & North Africa,Lower middle income,1979,37205013.0
4177,Iraq,Middle East & North Africa,Upper middle income,1979,13233830.0
4178,Iceland,Europe & Central Asia,High income,1979,225735.0
4179,Israel,Middle East & North Africa,High income,1979,3786000.0
4180,Italy,Europe & Central Asia,High income,1979,56317749.0
4181,Jamaica,Latin America & Caribbean,Upper middle income,1979,2106937.0
4182,Jordan,Middle East & North Africa,Lower middle income,1979,2138078.0
4183,Japan,East Asia & Pacific,High income,1979,115890000.0
4184,Kazakhstan,Europe & Central Asia,Upper middle income,1979,13957795.0
4185,Kenya,Sub-Saharan Africa,Lower middle income,1979,15620613.0
4186,Kyrgyz Republic,Europe & Central Asia,Lower middle income,1979,3552000.0
4187,Cambodia,East Asia & Pacific,Lower middle income,1979,6051808.0
4188,Kiribati,East Asia & Pacific,Lower middle income,1979,59775.0
4189,St. Kitts and Nevis,Latin America & Caribbean,High income,1979,43278.0
4190,"Korea, Rep.",East Asia & Pacific,High income,1979,37534236.0
4191,Kuwait,Middle East & North Africa,High income,1979,1412266.0
4192,Lao PDR,East Asia & Pacific,Lower middle income,1979,3233700.0
4193,Lebanon,Middle East & North Africa,Lower middle income,1979,2902164.0
4194,Liberia,Sub-Saharan Africa,Low income,1979,1875566.0
4195,Libya,Middle East & North Africa,Upper middle income,1979,2816917.0
4196,St. Lucia,Latin America & Caribbean,Upper middle income,1979,119463.0
4197,Liechtenstein,Europe & Central Asia,High income,1979,24616.0
4198,Sri Lanka,South Asia,Lower middle income,1979,14680387.0
4199,Lesotho,Sub-Saharan Africa,Lower middle income,1979,1368917.0
4200,Lithuania,Europe & Central Asia,High income,1979,3397842.0
4201,Luxembourg,Europe & Central Asia,High income,1979,362856.0
4202,Latvia,Europe & Central Asia,High income,1979,2505953.0
4203,"Macao SAR, China",East Asia & Pacific,High income,1979,245605.0
4204,St. Martin (French part),Latin America & Caribbean,High income,1979,7572.0
4205,Morocco,Middle East & North Africa,Lower middle income,1979,19167661.0
4206,Monaco,Europe & Central Asia,High income,1979,26834.0
4207,Moldova,Europe & Central Asia,Upper middle income,1979,2692764.0
4208,Madagascar,Sub-Saharan Africa,Low income,1979,8692289.0
4209,Maldives,South Asia,Upper middle income,1979,160326.0
4210,Mexico,Latin America & Caribbean,Upper middle income,1979,65972912.0
4211,Marshall Islands,East Asia & Pacific,Upper middle income,1979,30902.0
4212,North Macedonia,Europe & Central Asia,Upper middle income,1979,1879354.0
4213,Mali,Sub-Saharan Africa,Low income,1979,7218079.0
4214,Malta,Middle East & North Africa,High income,1979,313342.0
4215,Myanmar,East Asia & Pacific,Lower middle income,1979,32821779.0
4216,Montenegro,Europe & Central Asia,Upper middle income,1979,566888.0
4217,Mongolia,East Asia & Pacific,Lower middle income,1979,1657448.0
4218,Northern Mariana Islands,East Asia & Pacific,High income,1979,16494.0
4219,Mozambique,Sub-Saharan Africa,Low income,1979,11127844.0
4220,Mauritania,Sub-Saharan Africa,Lower middle income,1979,1463514.0
4221,Mauritius,Sub-Saharan Africa,Upper middle income,1979,949888.0
4222,Malawi,Sub-Saharan Africa,Low income,1979,6029140.0
4223,Malaysia,East Asia & Pacific,Upper middle income,1979,12875011.0
4224,Namibia,Sub-Saharan Africa,Upper middle income,1979,957334.0
4225,New Caledonia,East Asia & Pacific,High income,1979,138500.0
4226,Niger,Sub-Saharan Africa,Low income,1979,5987151.0
4227,Nigeria,Sub-Saharan Africa,Lower middle income,1979,70750307.0
4228,Nicaragua,Latin America & Caribbean,Lower middle income,1979,3214311.0
4229,Netherlands,Europe & Central Asia,High income,1979,14038270.0
4230,Norway,Europe & Central Asia,High income,1979,4072517.0
4231,Nepal,South Asia,Lower middle income,1979,15238564.0
4232,Nauru,East Asia & Pacific,High income,1979,7586.0
4233,New Zealand,East Asia & Pacific,High income,1979,3109000.0
4234,Oman,Middle East & North Africa,High income,1979,963351.0
4235,Pakistan,South Asia,Lower middle income,1979,77407341.0
4236,Panama,Latin America & Caribbean,High income,1979,1911814.0
4237,Peru,Latin America & Caribbean,Upper middle income,1979,17059185.0
4238,Philippines,East Asia & Pacific,Lower middle income,1979,47154232.0
4239,Palau,East Asia & Pacific,Upper middle income,1979,12300.0
4240,Papua New Guinea,East Asia & Pacific,Lower middle income,1979,3041902.0
4241,Poland,Europe & Central Asia,High income,1979,35247217.0
4242,Puerto Rico,Latin America & Caribbean,High income,1979,3168088.0
4243,"Korea, Dem. People's Rep.",East Asia & Pacific,Low income,1979,17719172.0
4244,Portugal,Europe & Central Asia,High income,1979,9661265.0
4245,Paraguay,Latin America & Caribbean,Upper middle income,1979,2999415.0
4246,French Polynesia,East Asia & Pacific,High income,1979,158563.0
4247,Qatar,Middle East & North Africa,High income,1979,260368.0
4248,Romania,Europe & Central Asia,High income,1979,22090488.0
4249,Russian Federation,Europe & Central Asia,Upper middle income,1979,138027000.0
4250,Rwanda,Sub-Saharan Africa,Low income,1979,5074374.0
4251,Saudi Arabia,Middle East & North Africa,High income,1979,9682002.0
4252,Sudan,Sub-Saharan Africa,Low income,1979,15973034.0
4253,Senegal,Sub-Saharan Africa,Lower middle income,1979,5564474.0
4254,Singapore,East Asia & Pacific,High income,1979,2383500.0
4255,Solomon Islands,East Asia & Pacific,Lower middle income,1979,225786.0
4256,Sierra Leone,Sub-Saharan Africa,Low income,1979,3300032.0
4257,El Salvador,Latin America & Caribbean,Upper middle income,1979,4433041.0
4258,San Marino,Europe & Central Asia,High income,1979,21087.0
4259,Somalia,Sub-Saharan Africa,Low income,1979,5408813.0
4260,Serbia,Europe & Central Asia,Upper middle income,1979,7332000.0
4261,South Sudan,Sub-Saharan Africa,Low income,1979,4092792.0
4262,Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,1979,95017.0
4263,Suriname,Latin America & Caribbean,Upper middle income,1979,377362.0
4264,Slovak Republic,Europe & Central Asia,High income,1979,4938973.0
4265,Slovenia,Europe & Central Asia,High income,1979,1882599.0
4266,Sweden,Europe & Central Asia,High income,1979,8293678.0
4267,Eswatini,Sub-Saharan Africa,Lower middle income,1979,579091.0
4268,Sint Maarten (Dutch part),Latin America & Caribbean,High income,1979,11542.0
4269,Seychelles,Sub-Saharan Africa,High income,1979,62686.0
4270,Syrian Arab Republic,Middle East & North Africa,Low income,1979,8600747.0
4271,Turks and Caicos Islands,Latin America & Caribbean,High income,1979,7332.0
4272,Chad,Sub-Saharan Africa,Low income,1979,4402942.0
4273,Togo,Sub-Saharan Africa,Low income,1979,2761240.0
4274,Thailand,East Asia & Pacific,Upper middle income,1979,44760091.0
4275,Tajikistan,Europe & Central Asia,Lower middle income,1979,3932682.0
4276,Turkmenistan,Europe & Central Asia,Upper middle income,1979,2794392.0
4277,Timor-Leste,East Asia & Pacific,Lower middle income,1979,634549.0
4278,Tonga,East Asia & Pacific,Upper middle income,1979,96506.0
4279,Trinidad and Tobago,Latin America & Caribbean,High income,1979,1112310.0
4280,Tunisia,Middle East & North Africa,Lower middle income,1979,6416191.0
4281,Turkiye,Europe & Central Asia,Upper middle income,1979,43187476.0
4282,Tuvalu,East Asia & Pacific,Upper middle income,1979,7552.0
4283,Tanzania,Sub-Saharan Africa,Lower middle income,1979,18698636.0
4284,Uganda,Sub-Saharan Africa,Low income,1979,13011511.0
4285,Ukraine,Europe & Central Asia,Lower middle income,1979,49739734.0
4286,Uruguay,Latin America & Caribbean,High income,1979,2940729.0
4287,United States,North America,High income,1979,225055000.0
4288,Uzbekistan,Europe & Central Asia,Lower middle income,1979,15558907.0
4289,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,1979,106882.0
4290,British Virgin Islands,Latin America & Caribbean,High income,1979,10876.0
4291,Virgin Islands (U.S.),Latin America & Caribbean,High income,1979,96183.0
4292,Viet Nam,East Asia & Pacific,Lower middle income,1979,51831389.0
4293,Vanuatu,East Asia & Pacific,Lower middle income,1979,115344.0
4294,Samoa,East Asia & Pacific,Lower middle income,1979,163489.0
4295,Kosovo,Europe & Central Asia,Upper middle income,1979,1491000.0
4296,"Yemen, Rep.",Middle East & North Africa,Low income,1979,8899922.0
4297,South Africa,Sub-Saharan Africa,Upper middle income,1979,28697014.0
4298,Zambia,Sub-Saharan Africa,Lower middle income,1979,5553462.0
4299,Zimbabwe,Sub-Saharan Africa,Lower middle income,1979,6655833.0
4300,Aruba,Latin America & Caribbean,High income,1980,62267.0
4301,Afghanistan,South Asia,Low income,1980,12486631.0
4302,Angola,Sub-Saharan Africa,Lower middle income,1980,8330047.0
4303,Albania,Europe & Central Asia,Upper middle income,1980,2671997.0
4304,Andorra,Europe & Central Asia,High income,1980,35611.0
4305,United Arab Emirates,Middle East & North Africa,High income,1980,1014048.0
4306,Argentina,Latin America & Caribbean,Upper middle income,1980,28024803.0
4307,Armenia,Europe & Central Asia,Upper middle income,1980,3135123.0
4308,American Samoa,East Asia & Pacific,High income,1980,32886.0
4309,Antigua and Barbuda,Latin America & Caribbean,High income,1980,64889.0
4310,Australia,East Asia & Pacific,High income,1980,14692000.0
4311,Austria,Europe & Central Asia,High income,1980,7549433.0
4312,Azerbaijan,Europe & Central Asia,Upper middle income,1980,6160500.0
4313,Burundi,Sub-Saharan Africa,Low income,1980,4312834.0
4314,Belgium,Europe & Central Asia,High income,1980,9859242.0
4315,Benin,Sub-Saharan Africa,Lower middle income,1980,3833939.0
4316,Burkina Faso,Sub-Saharan Africa,Low income,1980,6932967.0
4317,Bangladesh,South Asia,Lower middle income,1980,83929765.0
4318,Bulgaria,Europe & Central Asia,Upper middle income,1980,8861535.0
4319,Bahrain,Middle East & North Africa,High income,1980,362595.0
4320,"Bahamas, The",Latin America & Caribbean,High income,1980,223752.0
4321,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,1980,4199820.0
4322,Belarus,Europe & Central Asia,Upper middle income,1980,9643000.0
4323,Belize,Latin America & Caribbean,Upper middle income,1980,145133.0
4324,Bermuda,North America,High income,1980,54670.0
4325,Bolivia,Latin America & Caribbean,Lower middle income,1980,5736088.0
4326,Brazil,Latin America & Caribbean,Upper middle income,1980,122288383.0
4327,Barbados,Latin America & Caribbean,High income,1980,253575.0
4328,Brunei Darussalam,East Asia & Pacific,High income,1980,187921.0
4329,Bhutan,South Asia,Lower middle income,1980,415257.0
4330,Botswana,Sub-Saharan Africa,Upper middle income,1980,938578.0
4331,Central African Republic,Sub-Saharan Africa,Low income,1980,2415276.0
4332,Canada,North America,High income,1980,24515667.0
4333,Switzerland,Europe & Central Asia,High income,1980,6319408.0
4334,Channel Islands,Europe & Central Asia,High income,1980,127984.0
4335,Chile,Latin America & Caribbean,High income,1980,11469828.0
4336,China,East Asia & Pacific,Upper middle income,1980,981235000.0
4337,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,1980,8303810.0
4338,Cameroon,Sub-Saharan Africa,Lower middle income,1980,8519891.0
4339,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,1980,26708686.0
4340,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,1980,1829256.0
4341,Colombia,Latin America & Caribbean,Upper middle income,1980,26176195.0
4342,Comoros,Sub-Saharan Africa,Lower middle income,1980,328328.0
4343,Cabo Verde,Sub-Saharan Africa,Lower middle income,1980,317234.0
4344,Costa Rica,Latin America & Caribbean,Upper middle income,1980,2414303.0
4345,Cuba,Latin America & Caribbean,Upper middle income,1980,9809107.0
4346,Curacao,Latin America & Caribbean,High income,1980,148041.0
4347,Cayman Islands,Latin America & Caribbean,High income,1980,17100.0
4348,Cyprus,Europe & Central Asia,High income,1980,679327.0
4349,Czechia,Europe & Central Asia,High income,1980,10304193.0
4350,Germany,Europe & Central Asia,High income,1980,78288576.0
4351,Djibouti,Middle East & North Africa,Lower middle income,1980,324121.0
4352,Dominica,Latin America & Caribbean,Upper middle income,1980,72978.0
4353,Denmark,Europe & Central Asia,High income,1980,5123027.0
4354,Dominican Republic,Latin America & Caribbean,Upper middle income,1980,5755800.0
4355,Algeria,Middle East & North Africa,Lower middle income,1980,18739378.0
4356,Ecuador,Latin America & Caribbean,Upper middle income,1980,8135845.0
4357,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,1980,43748556.0
4358,Eritrea,Sub-Saharan Africa,Low income,1980,1657982.0
4359,Spain,Europe & Central Asia,High income,1980,37491165.0
4360,Estonia,Europe & Central Asia,High income,1980,1477219.0
4361,Ethiopia,Sub-Saharan Africa,Low income,1980,34945469.0
4362,Finland,Europe & Central Asia,High income,1980,4779535.0
4363,Fiji,East Asia & Pacific,Upper middle income,1980,644582.0
4364,France,Europe & Central Asia,High income,1980,55052582.0
4365,Faroe Islands,Europe & Central Asia,High income,1980,43054.0
4366,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,1980,76299.0
4367,Gabon,Sub-Saharan Africa,Upper middle income,1980,749078.0
4368,United Kingdom,Europe & Central Asia,High income,1980,56314216.0
4369,Georgia,Europe & Central Asia,Upper middle income,1980,4467700.0
4370,Ghana,Sub-Saharan Africa,Lower middle income,1980,11865246.0
4371,Gibraltar,Europe & Central Asia,High income,1980,28734.0
4372,Guinea,Sub-Saharan Africa,Lower middle income,1980,4972609.0
4373,"Gambia, The",Sub-Saharan Africa,Low income,1980,718586.0
4374,Guinea-Bissau,Sub-Saharan Africa,Low income,1980,831462.0
4375,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,1980,282509.0
4376,Greece,Europe & Central Asia,High income,1980,9642505.0
4377,Grenada,Latin America & Caribbean,Upper middle income,1980,94838.0
4378,Greenland,Europe & Central Asia,High income,1980,50200.0
4379,Guatemala,Latin America & Caribbean,Upper middle income,1980,6890346.0
4380,Guam,East Asia & Pacific,High income,1980,110286.0
4381,Guyana,Latin America & Caribbean,High income,1980,778176.0
4382,"Hong Kong SAR, China",East Asia & Pacific,High income,1980,5063100.0
4383,Honduras,Latin America & Caribbean,Lower middle income,1980,3777990.0
4384,Croatia,Europe & Central Asia,High income,1980,4599782.0
4385,Haiti,Latin America & Caribbean,Lower middle income,1980,5646676.0
4386,Hungary,Europe & Central Asia,High income,1980,10711122.0
4387,Indonesia,East Asia & Pacific,Upper middle income,1980,148177096.0
4388,Isle of Man,Europe & Central Asia,High income,1980,64022.0
4389,India,South Asia,Lower middle income,1980,696828385.0
4390,Ireland,Europe & Central Asia,High income,1980,3412800.0
4391,"Iran, Islamic Rep.",Middle East & North Africa,Lower middle income,1980,38520664.0
4392,Iraq,Middle East & North Africa,Upper middle income,1980,13653369.0
4393,Iceland,Europe & Central Asia,High income,1980,228138.0
4394,Israel,Middle East & North Africa,High income,1980,3878000.0
4395,Italy,Europe & Central Asia,High income,1980,56433883.0
4396,Jamaica,Latin America & Caribbean,Upper middle income,1980,2135546.0
4397,Jordan,Middle East & North Africa,Lower middle income,1980,2216903.0
4398,Japan,East Asia & Pacific,High income,1980,116807000.0
4399,Kazakhstan,Europe & Central Asia,Upper middle income,1980,14172710.0
4400,Kenya,Sub-Saharan Africa,Lower middle income,1980,16187124.0
4401,Kyrgyz Republic,Europe & Central Asia,Lower middle income,1980,3617400.0
4402,Cambodia,East Asia & Pacific,Lower middle income,1980,6198959.0
4403,Kiribati,East Asia & Pacific,Lower middle income,1980,60813.0
4404,St. Kitts and Nevis,Latin America & Caribbean,High income,1980,43097.0
4405,"Korea, Rep.",East Asia & Pacific,High income,1980,38123775.0
4406,Kuwait,Middle East & North Africa,High income,1980,1493870.0
4407,Lao PDR,East Asia & Pacific,Lower middle income,1980,3297519.0
4408,Lebanon,Middle East & North Africa,Lower middle income,1980,2963702.0
4409,Liberia,Sub-Saharan Africa,Low income,1980,1932169.0
4410,Libya,Middle East & North Africa,Upper middle income,1980,2962720.0
4411,St. Lucia,Latin America & Caribbean,Upper middle income,1980,121633.0
4412,Liechtenstein,Europe & Central Asia,High income,1980,25003.0
4413,Sri Lanka,South Asia,Lower middle income,1980,14943645.0
4414,Lesotho,Sub-Saharan Africa,Lower middle income,1980,1407672.0
4415,Lithuania,Europe & Central Asia,High income,1980,3413202.0
4416,Luxembourg,Europe & Central Asia,High income,1980,364150.0
4417,Latvia,Europe & Central Asia,High income,1980,2511701.0
4418,"Macao SAR, China",East Asia & Pacific,High income,1980,245332.0
4419,St. Martin (French part),Latin America & Caribbean,High income,1980,7776.0
4420,Morocco,Middle East & North Africa,Lower middle income,1980,19678444.0
4421,Monaco,Europe & Central Asia,High income,1980,27076.0
4422,Moldova,Europe & Central Asia,Upper middle income,1980,2716068.0
4423,Madagascar,Sub-Saharan Africa,Low income,1980,8948162.0
4424,Maldives,South Asia,Upper middle income,1980,164887.0
4425,Mexico,Latin America & Caribbean,Upper middle income,1980,67705186.0
4426,Marshall Islands,East Asia & Pacific,Upper middle income,1980,31988.0
4427,North Macedonia,Europe & Central Asia,Upper middle income,1980,1907023.0
4428,Mali,Sub-Saharan Africa,Low income,1980,7372581.0
4429,Malta,Middle East & North Africa,High income,1980,316645.0
4430,Myanmar,East Asia & Pacific,Lower middle income,1980,33465781.0
4431,Montenegro,Europe & Central Asia,Upper middle income,1980,572608.0
4432,Mongolia,East Asia & Pacific,Lower middle income,1980,1697780.0
4433,Northern Mariana Islands,East Asia & Pacific,High income,1980,17613.0
4434,Mozambique,Sub-Saharan Africa,Low income,1980,11413587.0
4435,Mauritania,Sub-Saharan Africa,Lower middle income,1980,1506694.0
4436,Mauritius,Sub-Saharan Africa,Upper middle income,1980,966039.0
4437,Malawi,Sub-Saharan Africa,Low income,1980,6267369.0
4438,Malaysia,East Asia & Pacific,Upper middle income,1980,13215707.0
4439,Namibia,Sub-Saharan Africa,Upper middle income,1980,975994.0
4440,New Caledonia,East Asia & Pacific,High income,1980,140050.0
4441,Niger,Sub-Saharan Africa,Low income,1980,6173177.0
4442,Nigeria,Sub-Saharan Africa,Lower middle income,1980,72951439.0
4443,Nicaragua,Latin America & Caribbean,Lower middle income,1980,3303309.0
4444,Netherlands,Europe & Central Asia,High income,1980,14149800.0
4445,Norway,Europe & Central Asia,High income,1980,4085620.0
4446,Nepal,South Asia,Lower middle income,1980,15600442.0
4447,Nauru,East Asia & Pacific,High income,1980,7635.0
4448,New Zealand,East Asia & Pacific,High income,1980,3112900.0
4449,Oman,Middle East & North Africa,High income,1980,1017462.0
4450,Pakistan,South Asia,Lower middle income,1980,80624057.0
4451,Panama,Latin America & Caribbean,High income,1980,1956987.0
4452,Peru,Latin America & Caribbean,Upper middle income,1980,17492406.0
4453,Philippines,East Asia & Pacific,Lower middle income,1980,48419546.0
4454,Palau,East Asia & Pacific,Upper middle income,1980,12252.0
4455,Papua New Guinea,East Asia & Pacific,Lower middle income,1980,3104788.0
4456,Poland,Europe & Central Asia,High income,1980,35574150.0
4457,Puerto Rico,Latin America & Caribbean,High income,1980,3206000.0
4458,"Korea, Dem. People's Rep.",East Asia & Pacific,Low income,1980,17973650.0
4459,Portugal,Europe & Central Asia,High income,1980,9766312.0
4460,Paraguay,Latin America & Caribbean,Upper middle income,1980,3078912.0
4461,French Polynesia,East Asia & Pacific,High income,1980,163591.0
4462,Qatar,Middle East & North Africa,High income,1980,277450.0
4463,Romania,Europe & Central Asia,High income,1980,22207282.0
4464,Russian Federation,Europe & Central Asia,Upper middle income,1980,139010000.0
4465,Rwanda,Sub-Saharan Africa,Low income,1980,5247532.0
4466,Saudi Arabia,Middle East & North Africa,High income,1980,10171710.0
4467,Sudan,Sub-Saharan Africa,Low income,1980,16673586.0
4468,Senegal,Sub-Saharan Africa,Lower middle income,1980,5703869.0
4469,Singapore,East Asia & Pacific,High income,1980,2413945.0
4470,Solomon Islands,East Asia & Pacific,Lower middle income,1980,233668.0
4471,Sierra Leone,Sub-Saharan Africa,Low income,1980,3367477.0
4472,El Salvador,Latin America & Caribbean,Upper middle income,1980,4508992.0
4473,San Marino,Europe & Central Asia,High income,1980,21346.0
4474,Somalia,Sub-Saharan Africa,Low income,1980,5892224.0
4475,Serbia,Europe & Central Asia,Upper middle income,1980,7362000.0
4476,South Sudan,Sub-Saharan Africa,Low income,1980,4192012.0
4477,Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,1980,97210.0
4478,Suriname,Latin America & Caribbean,Upper middle income,1980,375112.0
4479,Slovak Republic,Europe & Central Asia,High income,1980,4979815.0
4480,Slovenia,Europe & Central Asia,High income,1980,1901315.0
4481,Sweden,Europe & Central Asia,High income,1980,8310531.0
4482,Eswatini,Sub-Saharan Africa,Lower middle income,1980,598564.0
4483,Sint Maarten (Dutch part),Latin America & Caribbean,High income,1980,12243.0
4484,Seychelles,Sub-Saharan Africa,High income,1980,63261.0
4485,Syrian Arab Republic,Middle East & North Africa,Low income,1980,8898954.0
4486,Turks and Caicos Islands,Latin America & Caribbean,High income,1980,7598.0
4487,Chad,Sub-Saharan Africa,Low income,1980,4408230.0
4488,Togo,Sub-Saharan Africa,Low income,1980,2838110.0
4489,Thailand,East Asia & Pacific,Upper middle income,1980,45737753.0
4490,Tajikistan,Europe & Central Asia,Lower middle income,1980,4045965.0
4491,Turkmenistan,Europe & Central Asia,Upper middle income,1980,2862903.0
4492,Timor-Leste,East Asia & Pacific,Lower middle income,1980,642224.0
4493,Tonga,East Asia & Pacific,Upper middle income,1980,96708.0
4494,Trinidad and Tobago,Latin America & Caribbean,High income,1980,1127852.0
4495,Tunisia,Middle East & North Africa,Lower middle income,1980,6578156.0
4496,Turkiye,Europe & Central Asia,Upper middle income,1980,44089069.0
4497,Tuvalu,East Asia & Pacific,Upper middle income,1980,7731.0
4498,Tanzania,Sub-Saharan Africa,Lower middle income,1980,19297659.0
4499,Uganda,Sub-Saharan Africa,Low income,1980,13284026.0
4500,Ukraine,Europe & Central Asia,Lower middle income,1980,49973920.0
4501,Uruguay,Latin America & Caribbean,High income,1980,2953750.0
4502,United States,North America,High income,1980,227225000.0
4503,Uzbekistan,Europe & Central Asia,Lower middle income,1980,15947129.0
4504,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,1980,107480.0
4505,British Virgin Islands,Latin America & Caribbean,High income,1980,11109.0
4506,Virgin Islands (U.S.),Latin America & Caribbean,High income,1980,99636.0
4507,Viet Nam,East Asia & Pacific,Lower middle income,1980,52968270.0
4508,Vanuatu,East Asia & Pacific,Lower middle income,1980,118156.0
4509,Samoa,East Asia & Pacific,Lower middle income,1980,164905.0
4510,Kosovo,Europe & Central Asia,Upper middle income,1980,1521000.0
4511,"Yemen, Rep.",Middle East & North Africa,Low income,1980,9204938.0
4512,South Africa,Sub-Saharan Africa,Upper middle income,1980,29463549.0
4513,Zambia,Sub-Saharan Africa,Lower middle income,1980,5720438.0
4514,Zimbabwe,Sub-Saharan Africa,Lower middle income,1980,7049926.0
4515,Aruba,Latin America & Caribbean,High income,1981,62614.0
4516,Afghanistan,South Asia,Low income,1981,11155195.0
4517,Angola,Sub-Saharan Africa,Lower middle income,1981,8631457.0
4518,Albania,Europe & Central Asia,Upper middle income,1981,2726056.0
4519,Andorra,Europe & Central Asia,High income,1981,36987.0
4520,United Arab Emirates,Middle East & North Africa,High income,1981,1100180.0
4521,Argentina,Latin America & Caribbean,Upper middle income,1981,28471285.0
4522,Armenia,Europe & Central Asia,Upper middle income,1981,3167876.0
4523,American Samoa,East Asia & Pacific,High income,1981,34059.0
4524,Antigua and Barbuda,Latin America & Caribbean,High income,1981,65076.0
4525,Australia,East Asia & Pacific,High income,1981,14923260.0
4526,Austria,Europe & Central Asia,High income,1981,7568710.0
4527,Azerbaijan,Europe & Central Asia,Upper middle income,1981,6257750.0
4528,Burundi,Sub-Saharan Africa,Low income,1981,4490743.0
4529,Belgium,Europe & Central Asia,High income,1981,9858982.0
4530,Benin,Sub-Saharan Africa,Lower middle income,1981,3941569.0
4531,Burkina Faso,Sub-Saharan Africa,Low income,1981,7123730.0
4532,Bangladesh,South Asia,Lower middle income,1981,86154836.0
4533,Bulgaria,Europe & Central Asia,Upper middle income,1981,8891117.0
4534,Bahrain,Middle East & North Africa,High income,1981,377430.0
4535,"Bahamas, The",Latin America & Caribbean,High income,1981,227956.0
4536,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,1981,4235970.0
4537,Belarus,Europe & Central Asia,Upper middle income,1981,9710000.0
4538,Belize,Latin America & Caribbean,Upper middle income,1981,148764.0
4539,Bermuda,North America,High income,1981,55050.0
4540,Bolivia,Latin America & Caribbean,Lower middle income,1981,5862990.0
4541,Brazil,Latin America & Caribbean,Upper middle income,1981,125168060.0
4542,Barbados,Latin America & Caribbean,High income,1981,254684.0
4543,Brunei Darussalam,East Asia & Pacific,High income,1981,194099.0
4544,Bhutan,South Asia,Lower middle income,1981,428641.0
4545,Botswana,Sub-Saharan Africa,Upper middle income,1981,982747.0
4546,Central African Republic,Sub-Saharan Africa,Low income,1981,2441010.0
4547,Canada,North America,High income,1981,24819915.0
4548,Switzerland,Europe & Central Asia,High income,1981,6354074.0
4549,Channel Islands,Europe & Central Asia,High income,1981,128510.0
4550,Chile,Latin America & Caribbean,High income,1981,11637613.0
4551,China,East Asia & Pacific,Upper middle income,1981,993885000.0
4552,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,1981,8621621.0
4553,Cameroon,Sub-Saharan Africa,Lower middle income,1981,8829048.0
4554,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,1981,27457783.0
4555,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,1981,1870540.0
4556,Colombia,Latin America & Caribbean,Upper middle income,1981,26785982.0
4557,Comoros,Sub-Saharan Africa,Lower middle income,1981,337986.0
4558,Cabo Verde,Sub-Saharan Africa,Lower middle income,1981,321634.0
4559,Costa Rica,Latin America & Caribbean,Upper middle income,1981,2481334.0
4560,Cuba,Latin America & Caribbean,Upper middle income,1981,9848560.0
4561,Curacao,Latin America & Caribbean,High income,1981,148629.0
4562,Cayman Islands,Latin America & Caribbean,High income,1981,17904.0
4563,Cyprus,Europe & Central Asia,High income,1981,687170.0
4564,Czechia,Europe & Central Asia,High income,1981,10300591.0
4565,Germany,Europe & Central Asia,High income,1981,78407907.0
4566,Djibouti,Middle East & North Africa,Lower middle income,1981,341316.0
4567,Dominica,Latin America & Caribbean,Upper middle income,1981,72932.0
4568,Denmark,Europe & Central Asia,High income,1981,5121572.0
4569,Dominican Republic,Latin America & Caribbean,Upper middle income,1981,5885244.0
4570,Algeria,Middle East & North Africa,Lower middle income,1981,19351357.0
